14,200,"Starting at westbound Raven NS Grasslands (Stop ID: 104648).  On Raven Dr (going south-west), travel 84 meters.  Turn Left on Grasslands Blvd (going south-west), travel 0.2 km.  Turn Left on Batchelor Dr (going south-east), travel 0.4 km.  Turn Left on Norview Rd (going east), travel 0.6 km.  Turn Right on North River Dr (going south), travel 0.7 km.  Turn Left on Batchelor Dr (going south-east), travel 0.6 km.  Continue Straight on 8th St (going south-east), travel 1.1 km.  Continue Straight on Tranquille Rd (going south), travel 0.2 km.  Turn Left on Sydney Ave (going north-east), travel 0.1 km.  Finish at Bay A at North Shore Exchange (Stop ID: 104618)."
14,201,"Starting at westbound Raven NS Grasslands (Stop ID: 104648).  On Raven Dr (going south-west), travel 84 meters.  Turn Left on Grasslands Blvd (going south-west), travel 0.2 km.  Turn Left on Batchelor Dr (going south-east), travel 0.4 km.  Turn Left on Norview Rd (going east), travel 0.6 km.  Turn Right on North River Dr (going south), travel 0.7 km.  Turn Left on Batchelor Dr (going south-east), travel 0.3 km.  Turn Left on Westsyde Rd (going north-east), travel 7.6 km.  Turn Right on Harrington Rd (going east), travel 0.6 km.  Turn Right on Overlander Dr (going south-west), travel 0.4 km.  Turn Right on Sicamore Dr (going north-west), travel 0.4 km.  Turn Left on Bank Rd (going south), travel 0.2 km.  Turn Right on Overlander Dr (going west), travel 0.2 km.  Continue Straight on Pine Springs Rd (going west), travel 11 meters.  Turn Left on Westsyde Rd (going south), travel 7.1 km.  Turn Left on Batchelor Dr (going south), travel 0.3 km.  Continue Straight on 8th St (going south-east), travel 1.1 km.  Continue Straight on Tranquille Rd (going south), travel 0.2 km.  Turn Left on Sydney Ave (going north-east), travel 0.1 km.  Finish at Bay A at North Shore Exchange (Stop ID: 104618)."
16,100,"Starting at northbound Churchill FS Squamish (Stop ID: 104681).  On Churchill Ave (going north), travel 43 meters.  Turn Left on Capilano Dr (going west), travel 0.4 km.  Turn Right on QuAppelle Blvd (going west), travel 1.9 km.  Turn Right on Highland Rd (going north), travel 2.4 km.  Turn Left on Flamingo Rd (going west), travel 0.2 km.  Turn Right on E Trans-Canada Hwy Frtg (going north), travel 0.4 km.  Turn Left on Industrial Dr (going south), travel 0.2 km.  Turn Right on Falcon Rd (going west), travel 0.3 km.  Turn Left on Oriole Rd (going south), travel 0.4 km.  Turn Right on Valleyview Dr (going west), travel 2.1 km.  Continue Straight on Battle St (going west), travel 0.5 km.  Continue Straight on Columbia St (going south-west), travel 1.6 km.  Turn Right on 6th Ave (going north), travel 0.6 km.  Turn Right on bus Lane (going north-east), travel 0.2 km.  Turn Right on Lansdowne St (going west), travel 26 meters.  Finish at Bay E at Lansdowne Exchange (Stop ID: 104654)."
16,200,"Starting at Bay E at Lansdowne Exchange (Stop ID: 104654).  On Lansdowne St (going west), travel 95 meters.  Turn Left on 6th Ave (going south), travel 97 meters.  Turn Right on Victoria St (going west), travel 0.3 km.  Turn Left on 4th Ave (going south), travel 100 meters.  Turn Left on Seymour St (going east), travel 1.0 km.  Turn Right on Victoria St (going east), travel 0.4 km.  Turn Left on Battle St (going east), travel 1.0 km.  Continue Straight on Valleyview Dr (going east), travel 2.0 km.  Turn Left on Oriole Rd (going north), travel 0.4 km.  Turn Right on Falcon Rd (going east), travel 0.3 km.  Turn Left on Industrial Dr (going north), travel 0.2 km.  Turn Right on E Trans-Canada Hwy Frtg (going east), travel 0.4 km.  Turn Left on Flamingo Rd (going east), travel 0.2 km.  Turn Right on Highland Rd (going south), travel 2.4 km.  Turn Right on QuAppelle Blvd (going west), travel 0.3 km.  Turn Left on Coldwater Dr (going south), travel 0.2 km.  Turn Left on Skeena Dr (going north-east), travel 0.7 km.  Turn Left on Finlay Ave (going north), travel 0.3 km.  Turn Right on QuAppelle Blvd (going east), travel 1.5 km.  Turn Left on Churchill Ave (going north), travel 96 meters.  Finish at northbound Churchill FS Squamish (Stop ID: 104681)."
16,201,"Starting at eastbound Coldwater NS Skeena (Stop ID: 104672).  On Coldwater Dr (going south-east), travel 45 meters.  Turn Left on Skeena Dr (going north-east), travel 0.7 km.  Turn Left on Finlay Ave (going north), travel 0.3 km.  Turn Right on QuAppelle Blvd (going east), travel 1.5 km.  Turn Left on Churchill Ave (going north), travel 96 meters.  Finish at northbound Churchill FS Squamish (Stop ID: 104681)."
2,101,"Starting at northbound Crestline FS Fleetwood (Stop ID: 104291).  On Crestline St (going north), travel 0.4 km.  Turn Right on Briarwood Ave (going east), travel 0.4 km.  Turn Right on Schreiner St (going south), travel 0.2 km.  Turn Left on Parkcrest Ave (going east), travel 1.3 km.  Turn Right on Southill St (going south), travel 0.2 km.  Turn Left on Fleetwood Ave (going east), travel 0.7 km.  Turn Left on Holt St (going north), travel 0.2 km.  Turn Right on Parkcrest Ave (going east), travel 0.8 km.  Continue on Halston Ave (going south-east), travel 0.4 km.  Turn Right on 12th St (going south), travel 0.9 km.  Turn Left on Tranquille Rd (going east), travel 0.5 km.  Continue Straight on Fortune Dr (going east), travel 0.5 km.  Turn Right on Sydney Ave (going south-west), travel 0.1 km.  Finish at Bay E at North Shore Exchange (Stop ID: 104251)."
2,200,"Starting at Bay H at Lansdowne Exchange (Stop ID: 104265).  On Lansdowne St (going west), travel 0.9 km.  Continue Straight on Victoria St W (going west), travel 0.7 km.  Take Victoria St Onramp on Left (going west), travel 0.2 km.  Merge on Overlander Bridge (going north), travel 0.5 km.  Continue on Fortune Dr (going north), travel 38 meters.  Turn Right on Tranquille Rd (going north-east), travel 1.6 km.  Turn Left on Yew St (going west), travel 0.2 km.  Continue Straight on MacKenzie Ave (going north-west), travel 0.4 km.  Turn Right on Willow St (going north-east), travel 0.3 km.  Turn Left on Cottonwood Ave (going north-west), travel 0.5 km.  Turn Right on Kenora Rd (going north-west), travel 0.3 km.  Turn Right on 12th St (going north), travel 1.1 km.  Turn Left on Halston Ave (going west), travel 0.4 km.  Continue on Parkcrest Ave (going north-west), travel 0.8 km.  Turn Left on Holt St (going south), travel 0.2 km.  Turn Right on Fleetwood Ave (going south-west), travel 0.7 km.  Turn Right on Southill St (going north), travel 0.2 km.  Turn Left on Parkcrest Ave (going west), travel 1.3 km.  Turn Left on Schreiner St (going south), travel 0.2 km.  Turn Right on Fleetwood Ave (going west), travel 0.4 km.  Turn Right on Crestline St (going north), travel 30 meters.  Finish at northbound Crestline FS Fleetwood (Stop ID: 104291)."
3,101,"Starting at eastbound Harrington NS Overlander (Stop ID: 104353).  On Harrington Rd (going east), travel 0.1 km.  Turn Right on Overlander Dr (going south-west), travel 0.4 km.  Turn Right on Sicamore Dr (going north-west), travel 0.4 km.  Turn Left on Bank Rd (going south), travel 0.2 km.  Turn Right on Overlander Dr (going west), travel 0.2 km.  Continue Straight on Pine Springs Rd (going west), travel 11 meters.  Turn Left on Westsyde Rd (going south), travel 7.1 km.  Turn Left on Batchelor Dr (going south), travel 0.3 km.  Continue Straight on 8th St (going south-east), travel 1.1 km.  Continue Straight on Tranquille Rd (going south), travel 0.2 km.  Turn Left on Sydney Ave (going north-east), travel 0.1 km.  Finish at Bay B at North Shore Exchange (Stop ID: 104381)."
3,200,"Starting at Bay G at Lansdowne Exchange (Stop ID: 104318).  On Lansdowne St (going west), travel 0.9 km.  Continue Straight on Victoria St W (going west), travel 0.7 km.  Take Victoria St Onramp on Left (going west), travel 0.2 km.  Merge on Overlander Bridge (going north), travel 0.5 km.  Continue on Fortune Dr (going north), travel 2.0 km.  Turn Left on 7th St (going south-west), travel 14 meters.  Continue Straight on Sydney Ave (going south-west), travel 0.2 km.  Turn Right on Tranquille Rd (going north-west), travel 0.2 km.  Continue Straight on 8th St (going north), travel 1.2 km.  Continue Straight on Batchelor Dr (going north-west), travel 0.1 km.  Take turning lane on Right (going north), travel 0.2 km.  Merge on Westsyde Rd (going north-east), travel 7.6 km.  Turn Right on Harrington Rd (going east), travel 0.5 km.  Finish at eastbound Harrington NS Overlander (Stop ID: 104353)."
4,100,"Starting at southbound Pacific FS Aberdeen (Stop ID: 104417).  On Pacific Way (going south), travel 0.6 km.  Turn Left on Abbeyglen Way (going north-east), travel 1.0 km.  Turn Right on Aberdeen Dr (going east), travel 0.5 km.  Turn Left on Van Horne Dr (going north), travel 0.3 km.  Turn Left on Laurier Dr (going west), travel 0.3 km.  Turn Right on Garymede Dr (going north), travel 0.5 km.  Turn Left on Greystone Cres (going north-west), travel 0.2 km.  Turn Right on Pacific Way (going north-west), travel 1.7 km.  Turn Right on Hillside Dr (going east), travel 0.4 km.  Turn Right on mall access (going south-east), travel 0.3 km.  Turn Right on Hillside Dr (going north-east), travel 1.8 km.  Turn Right on bus Lane (going south-east), travel 0.2 km.  Turn Right on Dalhousie Dr (going south-east), travel 0.5 km.  Turn Left on McGill Rd (going east), travel 2.0 km.  Turn Left on Bestwick Dr (going north), travel 0.4 km.  Turn Right on Sahali Terr (going north), travel 0.4 km.  Turn Right on Columbia St W (going south-east), travel 0.4 km.  Continue Straight on Columbia St (going east), travel 0.3 km.  Turn Left on 3rd Ave (going north), travel 0.4 km.  Turn Right on Seymour St (going east), travel 0.5 km.  Turn Left on 6th Ave (going north), travel 0.2 km.  Turn Right on bus Lane (going north-east), travel 0.2 km.  Turn Right on Lansdowne St (going west), travel 46 meters.  Finish at Bay F at Lansdowne Exchange (Stop ID: 104389)."
